case_name,ieee_bus_number,pandapower_bus_index,idc_load_mw,delta_p_mw,dc_opf_success,dc_opf_message,dc_lmp,dc_total_generation_cost,dc_total_load_mw,dc_total_generation_mw,dc_network_loss_mw,dc_total_emission_kg,dc_mef_success,dc_mef_plus_kg_per_mwh,dc_mef_minus_kg_per_mwh,dc_main_plus_marginal_gen,dc_main_plus_delta_mw,dc_main_plus_ef,dc_main_minus_marginal_gen,dc_main_minus_delta_mw,dc_main_minus_ef,dc_min_voltage_pu,dc_max_voltage_pu,dc_max_line_loading_percent,dc_voltage_violation_count,dc_line_overload_count,dc_grid_security_penalty,ac_opf_success,ac_opf_message,ac_lmp,ac_total_generation_cost,ac_total_load_mw,ac_total_generation_mw,ac_network_loss_mw,ac_total_emission_kg,ac_mef_success,ac_mef_plus_kg_per_mwh,ac_mef_minus_kg_per_mwh,ac_main_plus_marginal_gen,ac_main_plus_delta_mw,ac_main_plus_ef,ac_main_minus_marginal_gen,ac_main_minus_delta_mw,ac_main_minus_ef,ac_min_voltage_pu,ac_max_voltage_pu,ac_max_line_loading_percent,ac_voltage_violation_count,ac_line_overload_count,ac_grid_security_penalty,diagnosis
ieee14,1,0,1.0,0.1,True,DC OPF converged.,39.08958933205077,7681.64661352723,259.99999999999994,260.0000000000001,1.7053025658242404e-13,205728.32850820606,True,791.2627983096172,791.2627984033315,-1,0.08531570004922173,850.0,-1,0.0853157000607041,850.0,1.0,1.0,1.5087320987092738,0,0,0.0,True,AC OPF converged.,36.75593320195491,8116.524970129442,259.99999999999994,269.18825568046566,9.188255680465716,185816.1481485897,True,284.0362648255541,284.02895604493096,3,0.03833520380780975,100.0,3,0.0383349992294999,100.0,1.0157160407977741,1.0845463140877365,1.2301478644295774,9,0,9.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,2,1,1.0,0.1,True,DC OPF converged.,39.08958933201703,7681.646613527645,259.99999999999994,259.9999999999999,-5.684341886080802e-14,205728.3285078841,True,791.2627979292301,791.2627980313846,-1,0.08531570000198485,850.0,-1,0.08531570001463251,850.0,1.0,1.0,1.5171969335512605,0,0,0.0,True,AC OPF converged.,38.388887994140525,8118.159159741901,259.99999999999994,269.2223624734142,9.22236247341425,185767.38426805972,True,235.24711752455914,235.24441773246508,3,0.041569041652879335,100.0,3,0.04156878803943975,100.0,1.015643005190069,1.0845982541378787,1.2376259637607068,9,0,9.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,3,2,1.0,0.1,True,DC OPF converged.,39.08958933202297,7681.646613527573,259.99999999999994,260.0000000000001,1.7053025658242404e-13,205728.32850794055,True,791.2627979973331,791.2627980965772,-1,0.0853157000104261,850.0,-1,0.08531570002264743,850.0,1.0,1.0,1.5162726207928847,0,0,0.0,True,AC OPF converged.,40.59174147591723,8120.364077289199,259.99999999999994,269.2639089509915,9.26390895099155,185686.81197380688,True,154.6535140054766,154.65454324963503,1,0.06935107985027145,100.0,1,0.06934996315742836,100.0,1.015498304416187,1.0846658345128684,1.2358675383226505,9,0,9.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,4,3,1.0,0.1,True,DC OPF converged.,39.08958933202471,7681.646613527551,259.99999999999994,260.00000000000006,1.1368683772161603e-13,205728.3285079572,True,791.2627980179968,791.2627981154947,-1,0.08531570001295563,850.0,-1,0.08531570002506328,850.0,1.0,1.0,1.5154740896461618,0,0,0.0,True,AC OPF converged.,40.20823771463049,8119.980463034668,259.99999999999994,269.2619774866036,9.261977486603655,185714.98542076175,True,182.81950832664734,182.8221768658841,3,0.06152296511653077,100.0,3,0.06152303954284655,100.0,1.0156219829625428,1.0846972828213397,1.2356494404089975,9,0,9.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,5,4,1.0,0.1,True,DC OPF converged.,39.089589332024715,7681.6466135275505,259.99999999999994,260.0000000000001,1.7053025658242404e-13,205728.3285079575,True,791.2627980168327,791.2627981166588,-1,0.08531570001287037,850.0,-1,0.08531570002512012,850.0,1.0,1.0,1.5148996249736784,0,0,0.0,True,AC OPF converged.,39.6890823356025,8119.459392120091,259.99999999999994,269.25173907132466,9.251739071324721,185738.59400249782,True,206.41817510768306,206.4231065256172,3,0.05605247316520057,100.0,3,0.05605257313302481,100.0,1.0156480905869256,1.0846459838230031,1.2352711744337102,8,0,8.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,6,5,1.0,0.1,True,DC OPF converged.,39.089589332020125,7681.646613527604,259.99999999999994,259.99999999999994,0.0,205728.32850791316,True,791.2627979667741,791.2627980663092,-1,0.08531570000658917,850.0,-1,0.08531570001886735,850.0,1.0,1.0,1.5150870783683763,0,0,0.0,True,AC OPF converged.,39.772761593654884,8119.536176200956,259.99999999999994,269.2549170805654,9.254917080565463,185755.40440856724,True,223.18149614729919,223.19825219659833,3,0.04768044766941948,100.0,3,0.04768377345470576,100.0,1.0156529985318927,1.0846254177334138,1.235537984134015,8,0,8.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,7,6,1.0,0.1,True,DC OPF converged.,39.08958933202627,7681.6466135275305,259.99999999999994,259.9999999999999,-5.684341886080802e-14,205728.32850797195,True,791.2627980351681,791.2627981323749,-1,0.08531570001508726,850.0,-1,0.08531570002710964,850.0,1.0,1.0,1.515371020464009,0,0,0.0,True,AC OPF converged.,40.17632658927738,8119.948860954569,259.99999999999994,269.26046051151053,9.260460511510587,185705.39442359988,True,173.234339360788,173.23568258958403,3,0.06632109383312113,100.0,3,0.06632040223059832,100.0,1.0156153792711067,1.0847889111239792,1.235520191888003,9,0,9.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,8,7,1.0,0.1,True,DC OPF converged.,39.08958933202982,7681.646613527488,259.99999999999994,260.00000000000006,1.1368683772161603e-13,205728.32850800556,True,791.2627980730031,791.2627981696278,-1,0.08531570001989053,850.0,-1,0.08531570003168554,850.0,1.0,1.0,1.5153710204642834,0,0,0.0,True,AC OPF converged.,40.17632571272923,8119.948861996803,259.99999999999994,269.2604602406145,9.260460240614577,185705.39054522917,True,173.23037965979893,173.23173918499378,3,0.06632156715884108,100.0,3,0.06632088999378638,100.0,1.0156153632173524,1.0847680335238212,1.2355202717575005,9,0,9.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,9,8,1.0,0.1,True,DC OPF converged.,39.08958933202398,7681.646613527563,259.99999999999994,260.00000000000017,2.2737367544323206e-13,205728.32850794974,True,791.2627980083926,791.2627981073456,-1,0.08531570001181876,850.0,-1,0.08531570002401168,850.0,1.0,1.0,1.5153155800363682,0,0,0.0,True,AC OPF converged.,40.164444033507145,8119.936002946473,259.99999999999994,269.2597727447435,9.259772744743543,185700.57814393163,True,168.42192316893488,168.42251927999314,3,0.06874506314274242,100.0,3,0.06874371889970021,100.0,1.0156135408509674,1.0848839554121863,1.235452031292907,9,0,9.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
ieee14,10,9,1.0,0.1,True,DC OPF converged.,39.08958933202246,7681.646613527582,259.99999999999994,260.0,5.684341886080802e-14,205728.32850793502,True,791.262797989184,791.2627980919206,-1,0.08531570000943134,850.0,-1,0.08531570002202216,850.0,1.0,1.0,1.5152749709738038,0,0,0.0,True,AC OPF converged.,40.33182494178287,8120.094351582136,259.99999999999994,269.2645009590189,9.26450095901896,185709.52951909957,True,177.4146181566175,177.4077622257755,3,0.06611723818837056,100.0,3,0.0661131816017484,100.0,1.015620352516202,1.0848520754171285,1.235457580299632,9,0,9.0,DC/AC marginal generator differs; AC network loss is non-trivial; MEF is sensitive to generator emission factors
