date,hour,period_start,period_end,demand_mw,usep_sgd_per_mwh,solar_mw,grid_load_scale,source_file,scale_method,selection_method
2026-05-07,0,1,2,6202.309,160.84,0.0,0.9100530291562771,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,1,3,4,6176.6265,166.9,0.0,0.9062846846701661,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,2,5,6,6049.5735,166.64499999999998,0.0,0.8876424390946245,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,3,7,8,5977.021500000001,164.07,0.0,0.8769970218199699,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,4,9,10,5998.947,165.515,0.0,0.8802141088259163,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,5,11,12,6214.5355,167.365,0.0,0.9118470002984724,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,6,13,14,6605.0185,174.04,0.0,0.9691418298505039,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,7,15,16,7000.0015,177.515,17.61,1.0270969358626736,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,8,17,18,7201.353499999999,177.495,214.35500000000002,1.0566409327075057,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,9,19,20,7198.5905,173.0,476.485,1.056235522960981,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,10,21,22,7099.3415,171.14499999999998,725.3199999999999,1.0416729055404799,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,11,23,24,6709.12,158.04,1055.54,0.9844164453871874,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,12,25,26,6572.3675,157.98,1211.2150000000001,0.9643510105838434,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,13,27,28,6597.8415,158.105,1201.37,0.9680887622606347,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,14,29,30,6796.950000000001,160.365,1115.925,0.9973035746080625,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,15,31,32,6839.483,161.16000000000003,1016.86,1.0035443609811863,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,16,33,34,6996.945,161.58499999999998,853.78,1.0266484614181375,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,17,35,36,7286.338,169.10500000000002,457.88,1.06911054711342,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,18,37,38,7546.145,181.655,106.48,1.1072315351754474,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,19,39,40,7588.842000000001,181.735,1.025,1.113496384957341,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,20,41,42,7556.907499999999,179.20999999999998,0.0,1.1088106963759445,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,21,43,44,7391.2175,176.56,0.0,1.0844993171136563,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,22,45,46,7095.3385,169.32,0.0,1.0410855529471612,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
2026-05-07,23,47,48,6867.0345,171.26,0.0,1.0075869402904079,C:\Users\bulio\Desktop\IDC\ultimate_simplify\data\grid_scenarios\nems_singapore\raw\USEP_May-2026.csv,mean,typical
