"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL (MW)","RUSEP ($/MWh)","MAP ($/MWh)","MAPT ($/MWh)","TPC Applied"
"USEP","01-May-2026","1","300.36","0.00","6777.882","0.00","0.000","300.36","222.13","729.84","No"
"USEP","01-May-2026","2","289.28","0.00","6662.116","0.00","0.000","289.28","223.96","729.84","No"
"USEP","01-May-2026","3","227.22","0.00","6490.576","0.00","0.000","227.22","224.50","729.84","No"
"USEP","01-May-2026","4","182.66","0.00","6393.537","0.00","0.000","182.66","224.41","729.84","No"
"USEP","01-May-2026","5","182.53","0.00","6312.844","0.00","0.000","182.53","224.32","729.84","No"
"USEP","01-May-2026","6","199.62","0.00","6247.270","0.00","0.000","199.62","224.64","729.84","No"
"USEP","01-May-2026","7","169.60","0.00","6183.212","0.00","0.000","169.60","224.32","729.84","No"
"USEP","01-May-2026","8","161.85","0.00","6142.120","0.00","0.000","161.85","223.85","729.84","No"
"USEP","01-May-2026","9","167.58","0.00","6115.177","0.00","0.000","167.58","223.64","729.84","No"
"USEP","01-May-2026","10","167.55","0.00","6106.405","0.00","0.000","167.55","223.24","729.84","No"
"USEP","01-May-2026","11","174.57","0.00","6133.124","0.00","0.000","174.57","222.68","729.84","No"
"USEP","01-May-2026","12","182.94","0.00","6192.625","0.00","0.000","182.94","222.34","729.84","No"
"USEP","01-May-2026","13","177.93","0.00","6253.309","0.00","0.000","177.93","221.89","729.84","No"
"USEP","01-May-2026","14","181.96","0.00","6331.815","0.00","0.000","181.96","221.53","729.84","No"
"USEP","01-May-2026","15","213.79","0.00","6402.458","9.04","0.000","213.79","221.83","729.84","No"
"USEP","01-May-2026","16","199.43","0.00","6459.007","27.98","0.000","199.43","221.33","729.84","No"
"USEP","01-May-2026","17","181.96","0.00","6544.899","91.61","0.000","181.96","220.68","729.84","No"
"USEP","01-May-2026","18","169.40","0.00","6454.713","284.26","0.000","169.40","220.18","729.84","No"
"USEP","01-May-2026","19","167.62","0.00","6430.479","408.40","0.000","167.62","219.68","729.84","No"
"USEP","01-May-2026","20","169.46","0.00","6503.439","425.99","0.000","169.46","219.53","729.84","No"
"USEP","01-May-2026","21","161.42","0.00","6340.020","665.71","0.000","161.42","219.11","729.84","No"
"USEP","01-May-2026","22","151.40","0.00","6274.391","790.55","0.000","151.40","218.27","729.84","No"
"USEP","01-May-2026","23","166.63","0.00","6355.641","745.33","0.000","166.63","218.24","729.84","No"
"USEP","01-May-2026","24","161.40","0.00","6227.276","862.94","0.000","161.40","217.62","729.84","No"
"USEP","01-May-2026","25","213.06","0.00","6662.891","379.12","0.000","213.06","217.96","729.84","No"
"USEP","01-May-2026","26","213.04","0.00","6613.828","422.52","0.000","213.04","218.85","729.84","No"
"USEP","01-May-2026","27","155.37","0.00","6093.637","867.80","0.000","155.37","218.58","729.84","No"
"USEP","01-May-2026","28","138.86","0.00","5900.613","1035.81","0.000","138.86","217.98","729.84","No"
"USEP","01-May-2026","29","161.39","0.00","6307.810","661.94","0.000","161.39","217.84","729.84","No"
"USEP","01-May-2026","30","155.77","0.00","6218.444","704.83","0.000","155.77","217.23","729.84","No"
"USEP","01-May-2026","31","161.46","0.00","6356.819","544.11","0.000","161.46","216.49","729.84","No"
"USEP","01-May-2026","32","161.90","0.00","6454.947","473.36","0.000","161.90","214.67","729.84","No"
"USEP","01-May-2026","33","167.55","0.00","6548.378","450.88","0.000","167.55","212.92","729.84","No"
"USEP","01-May-2026","34","167.54","0.00","6573.551","444.81","0.000","167.54","203.82","729.84","No"
"USEP","01-May-2026","35","167.53","0.00","6686.076","331.68","0.000","167.53","199.73","729.84","No"
"USEP","01-May-2026","36","167.55","0.00","6736.199","265.16","0.000","167.55","195.93","729.84","No"
"USEP","01-May-2026","37","167.93","0.00","6872.645","173.80","0.000","167.93","194.09","729.84","No"
"USEP","01-May-2026","38","169.51","0.00","7016.964","77.70","0.000","169.51","192.43","729.84","No"
"USEP","01-May-2026","39","170.38","0.00","7134.688","0.99","0.000","170.38","190.65","729.84","No"
"USEP","01-May-2026","40","174.81","0.00","7179.254","0.00","0.000","174.81","188.95","729.84","No"
"USEP","01-May-2026","41","174.82","0.00","7183.583","0.00","0.000","174.82","187.13","729.84","No"
